model,params,params_millions
transformer_joint,350861,0.350861
transformer_multitask,366728,0.366728
transformer_coordinate,349442,0.349442
set_transformer_joint,483213,0.483213
set_transformer_multitask,499080,0.49908
set_transformer_coordinate,481794,0.481794
