model,params,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
transformer_joint,350861,12,12.0,0.08904202103535581,0.21664468852533186,0.9531953201220982,0.9531953201220982,0.9981998179433155,0.9540954101310991,,,,
set_transformer_joint,483213,35,35.0,0.08741910956538763,0.22828689138434366,0.9576957701671027,0.9576957701671027,1.0,0.9576957701671027,,,,
transformer_multitask,366728,36,36.0,0.03445785144896964,0.23733027779658994,0.9558955881104182,0.9558955881104182,0.9990999079523164,0.9558955881104182,,,,
set_transformer_multitask,499080,22,22.0,0.13501033793362965,0.2470825759008272,0.9450945106312351,0.9450945106312351,0.9963996385154587,0.9468946900590919,,,,
transformer_coordinate,349442,39,39.0,0.010771503550315663,0.014639443438751648,-10.340784203736131,,,,0.12032160083259369,0.1652027367959913,10.340784203736131,13.908372599765352
set_transformer_coordinate,481794,44,44.0,0.009577454093131975,0.011352664625907567,-9.764674393135591,,,,0.1120037299013734,0.14948834193720414,9.764674393135591,12.678124890233798
