model,param_count,n_samples,n_runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,latency_cfg_device,latency_cfg_batch_size,latency_cfg_n_samples,latency_cfg_n_warmup,latency_cfg_n_repeats,latency_cfg_seed,latency_cfg_percentile
transformer_joint,350861,512,1536,38.27507905452876,33.88739703223109,85.63671703450382,27.640027510013486,2.9847410041838884,396.98583306744695,cpu,1,512,50,3,42,95.0
transformer_multitask,366728,512,1536,68.935192579526,58.95963148213923,143.3731118158903,45.54551265907146,3.6717549664899707,586.5308940410614,cpu,1,512,50,3,42,95.0
transformer_coordinate,349442,512,1536,40.95857878140426,33.14450796460733,108.77217480447143,36.84985430491333,2.6139479596167803,398.9395920652896,cpu,1,512,50,3,42,95.0
set_transformer_joint,483213,512,1536,97.9416707918972,86.23637346317992,182.3896572459489,65.09315921302333,4.704424063675106,563.3207849459723,cpu,1,512,50,3,42,95.0
set_transformer_multitask,499080,512,1536,165.06698626153593,155.5009769508615,285.1005622651428,66.53483272217194,34.29550502914935,527.0585879916325,cpu,1,512,50,3,42,95.0
set_transformer_coordinate,481794,512,1536,124.09484641996944,117.07628692965955,231.85370923602022,108.09111932344027,4.664898966439068,3077.702304930426,cpu,1,512,50,3,42,95.0
