model,param_count,n_samples,n_runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,latency_cfg_device,latency_cfg_batch_size,latency_cfg_n_samples,latency_cfg_n_warmup,latency_cfg_n_repeats,latency_cfg_seed,latency_cfg_percentile
mlp_joint,1729037,512,1536,0.1352344769808648,0.13455399312078953,0.1403282512910664,0.004871511722555167,0.12891297228634357,0.2766490215435624,cpu,1,512,50,3,42,95.0
mlp_multitask,1727752,512,1536,0.1755401758600783,0.14712358824908733,0.19446521764621139,0.392854597116824,0.14241994358599186,11.94301899522543,cpu,1,512,50,3,42,95.0
mlp_coordinate,1726210,512,1536,0.17112267096308642,0.1343204639852047,0.16090000281110406,0.7407320854861168,0.13046793173998594,24.14073597174138,cpu,1,512,50,3,42,95.0
