model,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
transformer_joint,21.666666666666668,21.666666666666668,0.040082632756373505,0.25478037833014017,0.9501950178566975,0.9501950178566975,0.9993999399939995,0.9501950178566975,,,,
set_transformer_joint,19.666666666666668,19.666666666666668,0.07258548067814734,0.2445105502072877,0.951095110494526,0.951095110494526,0.9984998503784285,0.951095110494526,,,,
transformer_multitask,18.666666666666668,18.666666666666668,0.06817865315610797,0.29001981380319863,0.9441944194598274,0.9441944194598274,0.9969996988075902,0.945694568598553,,,,
set_transformer_multitask,22.666666666666668,22.666666666666668,0.05752539940645399,0.4847153433353522,0.9228922882632311,0.9228922882632311,0.9912991299129913,0.9264926482992347,,,,
transformer_coordinate,28.333333333333332,28.333333333333332,0.0148800183534633,0.025191434936532534,-14.404182030919344,,,,0.16126435634123368,0.22276862517246318,14.404182030919344,19.941574478617525
set_transformer_coordinate,27.666666666666668,27.666666666666668,0.0105112375698633,0.0179210706509732,-12.130433271452185,,,,0.1343332952156928,0.18335204830583363,12.130433271452185,17.05615547298877
