task,family,model,runs,score_mean,score_std,best_epoch_mean,train_loss_mean,val_loss_mean,joint_accuracy_mean,building_accuracy_mean,floor_accuracy_mean,coordinate_mean_euclidean_mean,coordinate_rmse_mean,coordinate_mean_euclidean_m_mean,coordinate_rmse_m_mean
coordinate,set,set_transformer_coordinate,3,-12.130433271452185,1.7278928136969431,27.666666666666668,0.0105112375698633,0.0179210706509732,,,,0.1343332952156928,0.18335204830583363,12.130433271452185,17.05615547298877
coordinate,standard,transformer_coordinate,3,-14.404182030919344,2.173091426089038,28.333333333333332,0.0148800183534633,0.025191434936532534,,,,0.16126435634123368,0.22276862517246318,14.404182030919344,19.941574478617525
joint,set,set_transformer_joint,3,0.951095110494526,0.0077602860030301975,19.666666666666668,0.07258548067814734,0.2445105502072877,0.951095110494526,0.9984998503784285,0.951095110494526,,,,
joint,standard,transformer_joint,3,0.9501950178566975,0.0049573088841664194,21.666666666666668,0.040082632756373505,0.25478037833014017,0.9501950178566975,0.9993999399939995,0.9501950178566975,,,,
multitask,set,set_transformer_multitask,3,0.9228922882632311,0.025716963775996415,22.666666666666668,0.05752539940645399,0.4847153433353522,0.9228922882632311,0.9912991299129913,0.9264926482992347,,,,
multitask,standard,transformer_multitask,3,0.9441944194598274,0.014817351301914566,18.666666666666668,0.06817865315610797,0.29001981380319863,0.9441944194598274,0.9969996988075902,0.945694568598553,,,,
