stage,task,family,model,best_value,best_epoch,val_loss,lr,weight_decay,dropout,d_model,nhead,num_layers,dim_feedforward,num_heads,num_sab_layers,num_seed_vectors
A,joint,standard,transformer_joint,0.9540954101310991,25,0.25992958180599657,0.0010187788895105446,7.026162296216879e-05,0.07529823799601765,128,4.0,2.0,256,,,
A,joint,set,set_transformer_joint,0.9540954101310991,25,0.2825231368776703,0.0003463879378445283,0.001390979441615353,0.10261735115579815,128,,,256,4.0,2.0,1.0
A,multitask,standard,transformer_multitask,0.9432943300230883,23,0.29007700791131474,0.0007911179704709911,0.0003265715389293453,0.13181594544953032,128,4.0,2.0,256,,,
A,multitask,set,set_transformer_multitask,0.9513951380654136,24,0.29017889082539094,0.00022069824123895762,0.00012253823156946334,0.0257332274516286,128,,,256,4.0,2.0,1.0
A,coordinate,standard,transformer_coordinate,-10.734112795141618,29,0.017468945378090593,0.0021386314153024615,2.0444246348223257e-05,0.11796865442847339,128,4.0,2.0,256,,,
A,coordinate,set,set_transformer_coordinate,-10.577543827140882,29,0.012139573269108734,0.0006909306034240361,0.0004802816828467291,0.06642636585271564,128,,,256,4.0,2.0,1.0
