family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m,selected_from_run,params,joint_accuracy,building_accuracy,floor_accuracy
mlp,coordinate,confirm_mlp_coord_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,78,78.0,0.009859360200003319,0.010967483091009672,-9.79397194295631,0.11024125985723159,0.1462780239049346,9.79397194295631,13.038949428256295,mlp_coord_lowreg_5e4_wd5e4,1726210,,,
mlp,coordinate,confirm_mlp_coord_lowreg_5e4_wd5e4,123,0.0005,0.0005,256,512,80,15,5,,51,51.0,0.011222302505765449,0.011678702793981876,-10.133180797546077,0.11420833008142091,0.15128345151265607,10.133180797546077,13.34414568734064,mlp_coord_lowreg_5e4_wd5e4,1726210,,,
mlp,coordinate,confirm_mlp_coord_lowreg_5e4_wd5e4,999,0.0005,0.0005,256,512,80,15,5,,63,63.0,0.01090422397925153,0.011985771163533552,-10.277055072897085,0.11550828381246787,0.15322361996213157,10.277055072897085,13.473428696167014,mlp_coord_lowreg_5e4_wd5e4,1726210,,,
mlp,joint,confirm_mlp_joint_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,6,6.0,0.019621890732598006,0.4199370583309771,0.9072907288046596,,,,,mlp_joint_reg_1e3_wd5e4,1729037,0.9072907288046596,0.9981998199819982,0.9072907288046596
mlp,joint,confirm_mlp_joint_reg_1e3_wd5e4,123,0.001,0.0005,256,512,50,10,5,,17,17.0,0.008643003825546537,0.5517489466175746,0.9063906402441964,,,,,mlp_joint_reg_1e3_wd5e4,1729037,0.9063906402441964,0.9972997299729973,0.9063906402441964
mlp,joint,confirm_mlp_joint_reg_1e3_wd5e4,999,0.001,0.0005,256,512,50,10,5,,10,10.0,0.01767486418930606,0.5075734558672008,0.9045904608163395,,,,,mlp_joint_reg_1e3_wd5e4,1729037,0.9045904608163395,0.9963996399639964,0.9045904608163395
mlp,multitask,confirm_mlp_mt_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,20,20.0,0.008896865019325406,0.5649359544905106,0.9090909090909091,,,,,mlp_mt_reg_1e3_wd5e4,1727752,0.9090909090909091,0.9990999099909991,0.909090910271199
mlp,multitask,confirm_mlp_mt_reg_1e3_wd5e4,123,0.001,0.0005,256,512,50,10,5,,16,16.0,0.009232181478849506,0.5076481687604147,0.9090909090909091,,,,,mlp_mt_reg_1e3_wd5e4,1727752,0.9090909090909091,0.9990999099909991,0.9090909082325164
mlp,multitask,confirm_mlp_mt_reg_1e3_wd5e4,999,0.001,0.0005,256,512,50,10,5,,19,19.0,0.009273837518430722,0.5554916905348201,0.9063906390639064,,,,,mlp_mt_reg_1e3_wd5e4,1727752,0.9063906390639064,0.9981998199819982,0.9063906382055137
