family,task,run_name,runs,score_mean,score_std,best_epoch_mean,train_loss_mean,val_loss_mean,joint_accuracy_mean,building_accuracy_mean,floor_accuracy_mean,coordinate_mean_euclidean_m_mean,coordinate_rmse_m_mean,params_first,dropout_first,d_model_first,nhead_first,num_layers_first,num_heads_first,num_sab_layers_first,dim_feedforward_first,num_seed_vectors_first
set,coordinate,confirm_set_coord_reg_1e3_wd5e4,3,-11.516433288954714,0.5289929395452883,34.333333333333336,0.011297050349471524,0.01408824195457746,,,,11.516433288954714,14.95820656887004,481794,0.1,128,,,4.0,2.0,256,1.0
set,joint,confirm_set_joint_lowreg_5e4_wd5e4,3,0.9429942993405271,0.003747373209942311,41.0,0.038371203748066726,0.3337007998266701,0.9429942993405271,0.9981998193024374,0.9429942993405271,,,483213,0.1,128,,,4.0,2.0,256,1.0
set,multitask,confirm_set_mt_lowreg_5e4_wd5e4,3,0.9498949889266881,0.006874550898021611,39.666666666666664,0.025762750965905228,0.27968171118746604,0.9498949889266881,0.9981998201787133,0.950795078738974,,,499080,0.1,128,,,4.0,2.0,256,1.0
standard,coordinate,confirm_standard_coord_stable_1e3_wd1e4,3,-10.299659667554247,0.40766557978426377,41.666666666666664,0.010850817547648836,0.013173016129095669,,,,10.299659667554247,13.511244890835632,349442,0.1,128,4.0,2.0,,,256,
standard,joint,confirm_standard_joint_reg_1e3_wd5e4,3,0.9558955885932642,0.007367555446276376,37.333333333333336,0.027740817285858158,0.29124432714349185,0.9558955885932642,0.997899789978998,0.9561956185962645,,,350861,0.1,128,4.0,2.0,,,256,
standard,multitask,confirm_standard_mt_stable_1e3_wd1e4,3,0.9585958586202667,0.003118001395474615,32.0,0.04861146706442302,0.23351583488345898,0.9585958586202667,0.9987998793084379,0.9594959486292677,,,366728,0.1,128,4.0,2.0,,,256,
