family,task,run_name,runs,score_mean,score_std,best_epoch_mean,train_loss_mean,val_loss_mean,joint_accuracy_mean,building_accuracy_mean,floor_accuracy_mean,coordinate_mean_euclidean_m_mean,coordinate_rmse_m_mean,params_first
cnn,coordinate,confirm_cnn_coord_low_5e4_wd1e4,3,-41.51235845914797,0.8183362461023296,55.0,0.046022769012451135,0.1865021790197008,,,,41.51235845914797,58.81411716627981,1582082
cnn,joint,confirm_cnn_joint_reg_1e3_wd5e4,3,0.8325832573959072,0.007029926890530204,31.0,0.017183828492072162,0.8813562175371322,0.8325832573959072,0.9453945389889826,0.8460846076203365,,,1584909
cnn,multitask,confirm_cnn_mt_stable_1e3_wd1e4,3,0.8181818181818182,0.008100810081008075,37.666666666666664,0.022575438346998294,1.1721413226017463,0.8181818181818182,0.9699969999145681,0.8307830788264431,,,1583624
lstm,coordinate,confirm_lstm_coord_stable_1e3_wd1e4_gc1,3,-10.87541952670645,0.32103104873773125,36.666666666666664,0.019091215133328166,0.01623809822417847,,,,10.87541952670645,15.566495074656762,1639203
lstm,joint,confirm_lstm_joint_lowreg_5e4_wd5e4_gc1,3,0.9459945984942543,0.01487192581963916,27.333333333333332,0.010415360422688511,0.3663987414483869,0.9459945984942543,0.9981998193024374,0.9459945984942543,,,1642030
lstm,multitask,confirm_lstm_mt_low_5e4_wd1e4_gc1,3,0.9462946294629463,0.004440038579942605,25.333333333333332,0.013808789139894287,0.3765080258174233,0.9462946294629463,0.9981998199819982,0.946594657820694,,,1640745
