family,task,run_name,runs,score_mean,score_std,best_epoch_mean,train_loss_mean,val_loss_mean,joint_accuracy_mean,building_accuracy_mean,floor_accuracy_mean,coordinate_mean_euclidean_m_mean,coordinate_rmse_m_mean,params_first
mlp,coordinate,confirm_mlp_coord_lowreg_5e4_wd5e4,3,-10.068069271133156,0.24803620857086434,64.0,0.010661962228340099,0.0115439856828417,,,,10.068069271133156,13.28550793725465,1726210
mlp,joint,confirm_mlp_joint_reg_1e3_wd5e4,3,0.9060906099550651,0.0013749092453625522,11.0,0.015313252915816866,0.4930864869385842,0.9060906099550651,0.9972997299729972,0.9060906099550651,,,1729037
mlp,multitask,confirm_mlp_mt_reg_1e3_wd5e4,3,0.9081908190819082,0.0015590016269746607,18.333333333333332,0.009134294672201879,0.5426919379285818,0.9081908190819082,0.9987998799879988,0.9081908189030763,,,1727752
