regime,scenario,model_label,model_family,model,task,metric,metric_value,source_file
aug_train,dropout_0.05,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.736030654721063,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.630445538612937,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.05,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.17369909139354,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,48.92064243041091,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,10.540922171128884,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.890585665144203,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.921191763718777,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.10,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.404227004305064,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,54.945602866480016,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,10.937920294500778,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,9.113522379109378,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,14.196358948798295,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.15,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.563897172525607,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,58.450032769412495,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,11.104820594681534,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,9.371496885252485,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,14.488954189058557,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.20,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.931461353276372,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,62.29775704164496,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,11.2377454507522,results_aug.csv|table_robustness_stability_long.csv
aug_train,dropout_0.25,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,9.656423601556927,results_aug.csv|table_robustness_stability_long.csv
