file,artifact_type,model_class_name,task,params,in_dim,batch_size,mean_ms,median_ms,p95_ms,min_ms,max_ms
mlp_coordinate.pt,checkpoint,CoordinateMLPModel,coordinate,1726210,1040,1,0.5212552372055749,0.5224309861660004,0.5263332626782358,0.5137380212545395,0.556637067347765
mlp_joint.pt,checkpoint,JointMLPModel,joint,1729037,1040,1,0.5230687915657958,0.5248374072834849,0.5290669738315046,0.515372958034277,0.5497289821505547
mlp_multitask.pt,checkpoint,MultiTaskMLPModel,multitask,1727752,1040,1,0.555619807758679,0.557377003133297,0.5613103741779923,0.5479941610246897,0.580810010433197
transformer_coordinate.pt,checkpoint,CoordinateTransformerModel,coordinate,349442,1040,1,8.01197686077406,8.000312955118716,8.09122493956238,7.965700933709741,8.407504996284842
cnn_coordinate.pt,checkpoint,CNNCoordinateModel,coordinate,1582082,1040,1,10.313357174551735,10.300080524757504,10.421540739480406,10.207111947238445,10.826501995325089
cnn_multitask.pt,checkpoint,CNNMultiTaskModel,multitask,1583624,1040,1,10.420834369336566,10.400027502328157,10.527356981765479,10.303901974111795,10.784890968352556
cnn_joint.pt,checkpoint,CNNJointModel,joint,1584909,1040,1,10.391769212049743,10.367809911258519,10.539313137996942,10.292011080309749,10.984622873365879
transformer_joint.pt,checkpoint,JointTransformerModel,joint,350861,1040,1,10.809763828292489,10.775626520626247,11.034539993852377,10.727799963206053,11.380446143448353
transformer_multitask.pt,checkpoint,MultiTaskTransformerModel,multitask,366728,1040,1,10.935558206401765,10.882589500397444,11.239503929391503,10.83708880469203,11.781594017520547
set_transformer_joint.pt,checkpoint,JointSetTransformerModel,joint,483213,1040,1,13.006873204528043,12.977064470760524,13.343565724790096,12.535618152469397,14.10101493820548
set_transformer_multitask.pt,checkpoint,MultiTaskSetTransformerModel,multitask,499080,1040,1,13.332912676657239,13.323534047231078,13.678604923188686,12.827994069084525,14.48512403294444
set_transformer_coordinate.pt,checkpoint,CoordinateSetTransformerModel,coordinate,481794,1040,1,13.63609389246752,13.638662057928741,13.98793924599886,13.069118838757277,15.3071831446141
lstm_coordinate.pt,checkpoint,LSTMCoordinateModel,coordinate,1639203,1040,1,107.220599190332,107.07519948482513,108.29295116709545,106.81975004263222,109.32657402008772
lstm_joint.pt,checkpoint,LSTMJointModel,joint,1642030,1040,1,107.27527814839657,107.03838360495865,108.65714875981212,106.788894161582,109.36565813608468
lstm_multitask.pt,checkpoint,LSTMMultiTaskModel,multitask,1640745,1040,1,108.10470201618348,107.87022951990366,110.66283581312746,106.94911400787532,111.27269803546369
