scenario,set_transformer_coordinate,set_transformer_joint,set_transformer_multitask,transformer_coordinate,transformer_joint,transformer_multitask
clean,1.2361475660097057,0.012601256370544434,-0.013501346111297607,-1.0582069071941316,0.0027002692222595215,0.005400538444519043
dropout_0.05,1.3952852073414377,0.021602153778076172,-0.012601256370544434,-0.6545806967080203,0.013501346111297607,0.008100807666778564
dropout_0.10,1.455853135414257,0.020702064037322998,-0.013501346111297607,-0.613938114794335,0.01170116662979126,0.007200717926025391
dropout_0.15,1.5488205601837333,0.014401435852050781,-0.005400538444519043,-0.3237903744903523,0.017101705074310303,0.017101705074310303
dropout_0.20,1.6629168290037626,0.017101705074310303,-0.0027002692222595215,-0.37460751058968,0.025202512741088867,0.01620161533355713
dropout_0.25,1.7120070117312913,0.022502243518829346,0.0009000897407531738,-0.558134031333422,0.028802871704101562,0.010801076889038086
dropout_0.30,2.049821154061494,0.028802871704101562,0.004500448703765869,-0.08858633608400623,0.02340233325958252,0.008100807666778564
dropout_0.35,2.2493711833005037,0.02340233325958252,0.01170116662979126,0.6636650293770696,0.04680466651916504,0.027002692222595215
dropout_0.40,2.2451985659865237,0.02610260248184204,0.009000897407531738,1.0534224700402017,0.015301525592803955,0.03510349988937378
dropout_0.45,2.8207270825225628,0.04320436716079712,0.014401435852050781,1.8341036428303799,0.0369037389755249,0.04680466651916504
dropout_0.50,3.2364380745573555,0.03420346975326538,0.031503140926361084,2.169725865862171,0.054005444049835205,0.05490553379058838
dropout_0.60,2.5892722913142965,0.02610260248184204,0.02610260248184204,3.3016094529125617,0.05400538444519043,0.04050403833389282
drop0.25_bias3_noise1,1.7422800123337172,0.025202512741088867,-0.008100807666778564,0.3423409370353596,0.021602153778076172,0.02340233325958252
drop0.35_bias4_noise2,1.9199161057844414,0.02610260248184204,0.0,0.23546230467661822,0.031503140926361084,0.02790278196334839
drop0.40_bias5_noise3,2.7901892608749588,0.04500454664230347,0.020702064037322998,0.9374211846992608,0.05670565366744995,0.04500448703765869
drop0.15_bias6_noise0,1.6451657822000385,0.02610260248184204,-0.020702064037322998,-0.10698336635210204,0.020702064037322998,0.01170116662979126
bias5_only,1.433442307993019,0.031503140926361084,-0.014401435852050781,-0.356683663875053,0.01620161533355713,0.009000897407531738
noise3_only,1.2289796574107612,0.020702064037322998,-0.015301525592803955,-1.0122264144688913,0.0018001794815063477,0.01170116662979126
