model,train_regime,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
transformer_joint,clean_train,16,16.0,0.13556592061038647,0.24271828982338617,0.9468946874302642,0.9468946874302642,0.9990999099909991,0.9468946874302642,,,,
set_transformer_joint,clean_train,19,19.0,0.08299394098946244,0.3147847803324649,0.9378937879304001,0.9378937879304001,0.9990999079523164,0.9387938799780838,,,,
transformer_multitask,clean_train,29,29.0,0.03952664402928044,0.2881114609760813,0.948694868038411,0.948694868038411,1.0,0.948694868038411,,,,
set_transformer_multitask,clean_train,17,17.0,0.15444156138266843,0.2836760894121295,0.9405940591376929,0.9405940591376929,0.9954995511352855,0.9405940591376929,,,,
transformer_coordinate,clean_train,28,28.0,0.010265723630291155,0.012650449873425207,-9.958617652989023,,,,0.11323409892277173,0.15413198378550855,9.958617652989023,13.43566469231507
set_transformer_coordinate,clean_train,20,20.0,0.010808518993698014,0.011571857442829547,-10.23542671347019,,,,0.11580694495097599,0.14948330224274206,10.23542671347019,13.087754307517715
transformer_joint,aug_train,6,6.0,0.1539216652888966,0.19198320574662794,0.9495949600860946,0.9495949600860946,0.9972997279343145,0.9495949600860946,,,,
set_transformer_joint,aug_train,4,4.0,0.227884429677788,0.18314187860403053,0.9504950480564128,0.9504950480564128,0.9972997299729973,0.9522952280744146,,,,
transformer_multitask,aug_train,14,14.0,0.08615860864990943,0.2270155149695575,0.9540954080924163,0.9540954080924163,1.0,0.9540954080924163,,,,
set_transformer_multitask,aug_train,9,9.0,0.19241435211311597,0.2789595466975582,0.9270927104512171,0.9270927104512171,0.9972997299729973,0.9297929804782198,,,,
transformer_coordinate,aug_train,11,11.0,0.013197347936876089,0.015338372117248771,-11.016824560183153,,,,0.13145764003598867,0.16992947101869524,11.016824560183153,13.878244063842883
set_transformer_coordinate,aug_train,25,25.0,0.009025186837246813,0.011666810549091477,-8.999279147460484,,,,0.10567270949999927,0.15049012126204783,8.999279147460484,12.33077458885007
